seed,turn,greedy_step,phase,pool_active,best_die,fatigue_before,energy_budget,energy_used_before,energy_remaining_before,candidate,category,energy_cost,rpe,rpe_max,ctl_gain,quality_gain,legal,illegal_reason,excluded_only_by_rpe,delta_energy_term,delta_quality_term,delta_rpe_term,delta_fatigue_term,marginal_utility,decomposition_residual,utility_before,utility_after,projected_spend,projected_offset,projected_q,projected_q_delta,projected_s,projected_s_delta,projected_recovery,projected_recovery_delta,projected_fatigue_raw,projected_fatigue_final,projected_overtraining,distance_to_ot,bust_probability,rank,selected,decision,stop_reason,available_count,pool_permanent,cumulative_ctl_before,quality_total_before,completions_before,dominant_negative_term,fatigue_weight_break_even,last_selected_margin,margin_drop_from_last_selection
0,1,3,weighted_greedy,6-6-6-6,6,0,11,4,7,EF1,EF,1,1,4,1,0,True,,False,0.2727272727272727,0.0,-0.02083333333333333,-0.75,-0.49810606060606055,5.551115123125783e-17,3.215909090909091,2.7178030303030303,5,-9,0,0,0,0,-4,0,-4,-4,False,10,0.0,1,False,best_rejected_stop,marginal_utility_negative,2,6-6-6-6,0,0,{},delta_fatigue_term,0.08396464646464646,0.5454545454545454,1.043560606060606
0,2,6,weighted_greedy,6-6-6-6,6,-4,13,12,1,EF1,EF,1,1,5,1,0,True,,False,0.23076923076923084,0.0,-0.011666666666666672,-0.25,-0.030897435897435876,-4.163336342344337e-17,5.889230769230769,5.858333333333333,13,-1,0,0,0,0,0,0,-4,-4,False,10,0.0,1,False,best_rejected_stop,marginal_utility_negative,6,6-6-6-6,4,0,"{""EF2"": 2}",delta_fatigue_term,0.21910256410256418,0.21326923076923077,0.24416666666666664
0,7,3,weighted_greedy,8-6-6-6-6,8,-6,15,10,5,EF5,EF,5,5,6,5,0,True,,False,1.0,0.0,0.0,-1.0,-8.881784197001252e-16,-8.881784197001252e-16,4.958333333333333,4.958333333333333,15,-4,0,0,0,0,-1,3,-7,-7,False,15,0.0,1,False,best_rejected_stop,marginal_utility_negative,12,8-6-6-6-6,61,6,"{""EF1"": 1, ""EF2"": 7, ""EF3"": 3, ""EF4"": 2, ""EF5"": 1, ""SL5"": 1, ""Seuil3"": 2, ""Seuil4"": 2, ""Seuil5"": 1}",delta_fatigue_term,0.25,,
0,9,3,weighted_greedy,8-8-6-6-6,8,-8,17,11,6,EF5,EF,5,5,8,5,0,True,,False,0.8823529411764701,0.0,-0.005208333333333343,-1.0,-0.12285539215686292,3.0531133177191805e-16,4.8630514705882355,4.740196078431373,16,-4,0,0,0,0,-1,3,-9,-8,False,16,0.0,1,False,best_rejected_stop,marginal_utility_negative,13,8-8-6-6-6,88,8,"{""EF1"": 1, ""EF2"": 8, ""EF3"": 3, ""EF4"": 3, ""EF5"": 3, ""SL5"": 2, ""SL6"": 1, ""Seuil3"": 2, ""Seuil4"": 2, ""Seuil5"": 1}",delta_fatigue_term,0.2192861519607842,,
0,10,3,weighted_greedy,8-8-6-6-6,8,-8,13,11,2,EF1,EF,1,1,6,1,0,True,,False,0.23076923076923084,0.0,-0.0625,-0.5,-0.33173076923076916,0.0,5.517628205128205,5.185897435897436,12,-8,0,0,0,0,-4,0,-12,-8,False,16,0.0,1,False,best_rejected_stop,marginal_utility_negative,14,8-8-6-6-6,99,9,"{""EF1"": 1, ""EF2"": 8, ""EF3"": 3, ""EF4"": 3, ""EF5"": 4, ""SL5"": 2, ""SL6"": 2, ""Seuil3"": 2, ""Seuil4"": 2, ""Seuil5"": 1}",delta_fatigue_term,0.08413461538461542,,
0,11,5,weighted_greedy,8-8-6-6-6-6,8,-8,25,17,8,EF4,EF,4,4,8,4,0,True,,False,0.48,0.0,-0.0015624999999999944,-0.5,-0.021562500000000817,-8.049116928532385e-16,5.6728125,5.65125,21,-2,0,0,0,0,0,3,-8,-8,False,16,0.0,1,False,best_rejected_stop,marginal_utility_negative,14,8-8-6-6-6-6,110,10,"{""EF1"": 1, ""EF2"": 8, ""EF3"": 3, ""EF4"": 3, ""EF5"": 5, ""SL5"": 2, ""SL6"": 3, ""Seuil3"": 2, ""Seuil4"": 2, ""Seuil5"": 1}",delta_fatigue_term,0.23921874999999998,0.47739583333333346,0.4989583333333343
0,14,6,weighted_greedy,8-8-8-6-6-6,8,-8,23,22,1,EF1,EF,1,1,6,1,0,True,,False,0.13043478260869534,0.0,-0.02361111111111111,-0.25,-0.1431763285024159,-1.3877787807814457e-16,6.052898550724638,5.909722222222222,23,-1,0,0,0,0,0,0,-8,-8,False,16,0.0,1,False,best_rejected_stop,marginal_utility_negative,15,8-8-8-6-6-6,163,15,"{""EF1"": 2, ""EF2"": 10, ""EF3"": 3, ""EF4"": 6, ""EF5"": 7, ""SL5"": 2, ""SL6"": 3, ""SL7"": 2, ""Seuil3"": 2, ""Seuil4"": 5, ""Seuil5"": 1}",delta_fatigue_term,0.10682367149758423,0.01757246376811672,0.16074879227053263
0,15,5,weighted_greedy,8-8-8-8-6-6,8,-8,24,19,5,EF4,EF,4,4,8,4,0,True,,False,0.5,0.0,-0.004687500000000011,-0.5,-0.004687500000000178,-1.6653345369377348e-16,6.0234375,6.01875,23,-2,0,0,0,0,0,3,-8,-8,False,16,0.0,1,False,best_rejected_stop,marginal_utility_negative,15,8-8-8-8-6-6,185,17,"{""EF1"": 2, ""EF2"": 10, ""EF3"": 4, ""EF4"": 7, ""EF5"": 8, ""SL5"": 2, ""SL6"": 4, ""SL7"": 2, ""Seuil3"": 2, ""Seuil4"": 6, ""Seuil5"": 1}",delta_fatigue_term,0.24765625,0.4921875,0.4968750000000002
0,16,5,weighted_greedy,8-8-8-8-6-6,8,-8,24,19,5,EF4,EF,4,4,7,4,0,True,,False,0.5,0.0,-0.005357142857142866,-0.5,-0.005357142857142172,6.938893903907228e-16,6.044642857142857,6.039285714285715,23,-2,0,0,0,0,0,3,-8,-8,False,16,0.0,1,False,best_rejected_stop,marginal_utility_negative,15,8-8-8-8-6-6,204,19,"{""EF1"": 2, ""EF2"": 11, ""EF3"": 4, ""EF4"": 7, ""EF5"": 9, ""SL5"": 2, ""SL6"": 4, ""SL7"": 2, ""SL8"": 1, ""Seuil3"": 2, ""Seuil4"": 7, ""Seuil5"": 1}",delta_fatigue_term,0.24732142857142858,0.49107142857142794,0.4964285714285701
1,1,3,weighted_greedy,6-6-6-6,6,0,10,4,6,EF1,EF,1,1,5,1,0,True,,False,0.2999999999999998,0.0,-0.016666666666666663,-0.75,-0.46666666666666723,-3.885780586188048e-16,3.3000000000000003,2.8333333333333335,5,-9,0,0,0,0,-4,0,-4,-4,False,10,0.0,1,False,best_rejected_stop,marginal_utility_negative,2,6-6-6-6,0,0,{},delta_fatigue_term,0.09444444444444439,0.6000000000000001,1.0666666666666673
