seed,turn,pool_active,fatigue_before,energy,tn,rpe_max,greedy_bundle,optimum_bundle,greedy_score,optimum_score,utility_gap,same_bundle,greedy_spend,optimum_spend,energy_delta_opt_minus_greedy,greedy_quality,optimum_quality,quality_delta,greedy_q,optimum_q,q_delta,greedy_s,optimum_s,s_delta,greedy_recovery,optimum_recovery,recovery_delta,greedy_fatigue_projected,optimum_fatigue_projected,fatigue_delta
0,1,6-6-6-6,0,11,14.0,4,EF2-EF2,EF2-EF2,3.215909090909091,3.215909090909091,0.0,True,4,4,0,0,0,0,0,0,0,0,0,0,-4,-4,0,-4,-4,0
0,8,8-6-6-6-6,-8,17,18.5,7,EF5-SL6-EF4-EF2,EF1-EF1-EF1-Seuil4-Seuil5-Seuil5,4.651785714285714,7.601190476190476,2.949404761904762,False,17,17,0,1,3,2,0,0,0,0,0,0,0,0,0,-8,-8,0
0,16,8-8-8-8-6-6,-8,24,25.0,7,EF5-SL7-EF3-Seuil4,EF1-EF1-EF1-Force3-Seuil4-Seuil5,6.044642857142857,8.464285714285715,2.4196428571428585,False,19,15,-4,2,3,1,0,0,0,0,0,0,-3,-4,-1,-8,-8,0
1,1,6-6-6-6,0,10,14.0,5,EF2-EF2,EF2-EF2-EF2-EF2-EF2,3.3000000000000003,3.35,0.04999999999999982,False,4,10,6,0,0,0,0,0,0,0,0,0,-4,-1,3,-4,-1,3
1,8,8-6-6-6-6,-8,19,18.5,6,EF5-SL6-EF4-Seuil3,EF1-EF1-EF1-Seuil4-Seuil5-Seuil5,5.779605263157895,7.302266081871345,1.52266081871345,False,18,17,-1,2,3,1,0,0,0,0,0,0,0,0,0,-8,-8,0
1,16,8-8-8-8-6-6,-8,23,25.0,7,EF5-SL7-EF3-Seuil4-EF4,EF1-EF1-EF1-Force3-Seuil4-Seuil5,6.164285714285715,8.545807453416149,2.3815217391304344,False,23,15,-8,2,3,1,0,0,0,0,0,0,0,-4,-4,-8,-8,0
2,1,6-6-6-6,0,6,14.0,3,EF2-EF2,EF2-EF2,4.166666666666666,4.166666666666666,0.0,True,4,4,0,0,0,0,0,0,0,0,0,0,-4,-4,0,-4,-4,0
2,8,8-8-6-6-6,-8,14,19.5,6,EF5-SL6,EF1-EF1-EF1-Force3-Seuil4-Seuil4,5.336309523809524,8.097222222222221,2.7609126984126977,False,11,14,3,1,3,2,0,0,0,0,0,0,-4,-3,1,-8,-8,0
2,16,8-8-8-8-6-6,-8,24,25.0,6,EF5-SL6-EF4-Seuil4,EF1-EF1-EF1-Force3-Seuil4-Seuil5,6.072916666666667,8.479166666666668,2.406250000000001,False,19,15,-4,2,3,1,0,0,0,0,0,0,-3,-4,-1,-8,-8,0
3,1,6-6-6-6,0,12,14.0,5,EF2-EF2,EF2-EF2-EF2-EF2-EF2-EF2,3.1,3.1,0.0,False,4,12,8,0,0,0,0,0,0,0,0,0,-4,0,4,-4,0,4
3,8,8-8-6-6-6,-8,18,19.5,8,EF5-SL6,EF1-EF1-EF4-Seuil4-Seuil4-Seuil4,4.755208333333334,7.59375,2.838541666666666,False,11,18,7,1,3,2,0,0,0,0,0,0,-4,0,4,-8,-8,0
3,16,8-8-8-8-6-6,-8,26,25.0,7,EF5-SL7-EF3-Seuil4,EF1-EF1-EF1-Force3-Seuil4-Seuil5,5.861950549450548,8.320054945054945,2.458104395604397,False,19,15,-4,2,3,1,0,0,0,0,0,0,-3,-4,-1,-8,-8,0
4,1,6-6-6-6,0,13,14.0,6,EF2-EF2,EF2-EF2,3.0064102564102564,3.0064102564102564,0.0,True,4,4,0,0,0,0,0,0,0,0,0,0,-4,-4,0,-4,-4,0
4,8,8-6-6-6-6,-8,20,18.5,6,EF5-SL6-EF4-Seuil3,EF1-EF1-EF3-Seuil4-Seuil4-Seuil4,5.6375,7.168055555555555,1.530555555555555,False,18,17,-1,2,3,1,0,0,0,0,0,0,0,0,0,-8,-8,0
4,16,8-8-8-8-6-6,-8,24,25.0,7,EF5-SL7-EF3-Seuil4,EF1-EF1-EF1-Force3-Seuil4-Seuil5,6.044642857142857,8.464285714285715,2.4196428571428585,False,19,15,-4,2,3,1,0,0,0,0,0,0,-3,-4,-1,-8,-8,0
5,1,6-6-6-6,0,12,14.0,6,EF2-EF2,EF2-EF2-EF2-EF2-EF2-EF2,3.083333333333333,3.0833333333333335,4.440892098500626e-16,False,4,12,8,0,0,0,0,0,0,0,0,0,-4,0,4,-4,0,4
