seed,turn,policy,negative_ef_count,negative_efs,mean_local_margin,chosen_bundle,alternative_bundle,global_value_gain,quality_gain,ctl_gain,energy_cost_gain,short_fatigue_delta
2,2,P_STD_EV,1,EF3,-0.12222222222222223,EF1|EF1|EF3|Seuil3|Seuil3|Seuil3,EF3|EF3|Seuil3|Seuil3,1.8722222222222218,1,2,2,0
3,2,P_STD_EV,1,EF3,-0.12222222222222223,EF1|EF1|EF3|Seuil3|Seuil3|Seuil3,EF3|EF3|Seuil3|Seuil3,1.8722222222222218,1,2,2,0
5,2,P_STD_EV,1,EF3,-0.19281045751634007,EF1|EF1|EF3|Seuil3|Seuil3|Seuil3,EF3|EF3|Seuil3|Seuil3,1.825163398692811,1,2,2,0
11,2,P_STD_EV,1,EF3,-0.07380952380952399,EF1|EF1|EF3|Seuil3|Seuil3|Seuil3,EF3|EF3|Seuil3|Seuil3,1.8952380952380947,1,2,2,0
13,2,P_STD_EV,1,EF3,-0.07936507936507953,EF1|EF1|EF3|Seuil3|Seuil3|Seuil3,EF3|EF3|Seuil3|Seuil3,1.9007936507936511,1,2,2,0
17,2,P_STD_EV,1,EF3,-0.12222222222222223,EF1|EF1|EF3|Seuil3|Seuil3|Seuil3,EF3|EF3|Seuil3|Seuil3,1.8722222222222218,1,2,2,0
20,2,P_STD_EV,1,EF3,-0.12222222222222223,EF1|EF1|EF3|Seuil3|Seuil3|Seuil3,EF3|EF3|Seuil3|Seuil3,1.8722222222222218,1,2,2,0
22,2,P_STD_EV,1,EF3,-0.07936507936507953,EF1|EF1|EF3|Seuil3|Seuil3|Seuil3,EF3|EF3|Seuil3|Seuil3,1.9007936507936511,1,2,2,0
26,2,P_STD_EV,1,EF3,-0.07380952380952399,EF1|EF1|EF3|Seuil3|Seuil3|Seuil3,EF3|EF3|Seuil3|Seuil3,1.8952380952380947,1,2,2,0
33,2,P_STD_EV,1,EF3,-0.12222222222222223,EF1|EF1|EF3|Seuil3|Seuil3|Seuil3,EF3|EF3|Seuil3|Seuil3,1.8722222222222218,1,2,2,0
37,2,P_STD_EV,1,EF3,-0.19281045751634007,EF1|EF1|EF3|Seuil3|Seuil3|Seuil3,EF3|EF3|Seuil3|Seuil3,1.825163398692811,1,2,2,0
39,2,P_STD_EV,1,EF3,-0.12222222222222223,EF1|EF1|EF3|Seuil3|Seuil3|Seuil3,EF3|EF3|Seuil3|Seuil3,1.8722222222222218,1,2,2,0
40,2,P_STD_EV,1,EF3,-0.12222222222222223,EF1|EF1|EF3|Seuil3|Seuil3|Seuil3,EF3|EF3|Seuil3|Seuil3,1.8722222222222218,1,2,2,0
41,2,P_STD_EV,1,EF3,-0.07936507936507953,EF1|EF1|EF3|Seuil3|Seuil3|Seuil3,EF3|EF3|Seuil3|Seuil3,1.9007936507936511,1,2,2,0
43,2,P_STD_EV,1,EF3,-0.15972222222222188,EF1|EF1|EF3|Seuil3|Seuil3|Seuil3,EF3|EF3|Seuil3|Seuil3,1.8472222222222223,1,2,2,0
47,2,P_STD_EV,1,EF3,-0.15416666666666679,EF1|EF1|EF3|Seuil3|Seuil3|Seuil3,EF3|EF3|Seuil3|Seuil3,1.841666666666666,1,2,2,0
49,2,P_STD_EV,1,EF3,-0.15972222222222188,EF1|EF1|EF3|Seuil3|Seuil3|Seuil3,EF3|EF3|Seuil3|Seuil3,1.8472222222222223,1,2,2,0
53,2,P_STD_EV,1,EF3,-0.12222222222222223,EF1|EF1|EF3|Seuil3|Seuil3|Seuil3,EF3|EF3|Seuil3|Seuil3,1.8722222222222218,1,2,2,0
60,2,P_STD_EV,1,EF3,-0.06547619047619024,EF1|EF1|EF3|Seuil3|Seuil3|Seuil3,EF3|EF3|Seuil3|Seuil3,1.8869047619047619,1,2,2,0
63,2,P_STD_EV,1,EF3,-0.07936507936507953,EF1|EF1|EF3|Seuil3|Seuil3|Seuil3,EF3|EF3|Seuil3|Seuil3,1.9007936507936511,1,2,2,0
68,2,P_STD_EV,1,EF3,-0.11666666666666714,EF1|EF1|EF3|Seuil3|Seuil3|Seuil3,EF3|EF3|Seuil3|Seuil3,1.8666666666666654,1,2,2,0
69,2,P_STD_EV,1,EF3,-0.15416666666666679,EF1|EF1|EF3|Seuil3|Seuil3|Seuil3,EF3|EF3|Seuil3|Seuil3,1.841666666666666,1,2,2,0
72,2,P_STD_EV,1,EF3,-0.07936507936507953,EF1|EF1|EF3|Seuil3|Seuil3|Seuil3,EF3|EF3|Seuil3|Seuil3,1.9007936507936511,1,2,2,0
75,2,P_STD_EV,1,EF3,-0.12222222222222223,EF1|EF1|EF3|Seuil3|Seuil3|Seuil3,EF3|EF3|Seuil3|Seuil3,1.8722222222222218,1,2,2,0
77,2,P_STD_EV,1,EF3,-0.07380952380952399,EF1|EF1|EF3|Seuil3|Seuil3|Seuil3,EF3|EF3|Seuil3|Seuil3,1.8952380952380947,1,2,2,0
79,2,P_STD_EV,1,EF3,-0.15972222222222188,EF1|EF1|EF3|Seuil3|Seuil3|Seuil3,EF3|EF3|Seuil3|Seuil3,1.8472222222222223,1,2,2,0
87,2,P_STD_EV,1,EF3,-0.07936507936507953,EF1|EF1|EF3|Seuil3|Seuil3|Seuil3,EF3|EF3|Seuil3|Seuil3,1.9007936507936511,1,2,2,0
90,2,P_STD_EV,1,EF3,-0.15972222222222188,EF1|EF1|EF3|Seuil3|Seuil3|Seuil3,EF3|EF3|Seuil3|Seuil3,1.8472222222222223,1,2,2,0
91,2,P_STD_EV,1,EF3,-0.07936507936507953,EF1|EF1|EF3|Seuil3|Seuil3|Seuil3,EF3|EF3|Seuil3|Seuil3,1.9007936507936511,1,2,2,0
92,2,P_STD_EV,1,EF3,-0.11666666666666714,EF1|EF1|EF3|Seuil3|Seuil3|Seuil3,EF3|EF3|Seuil3|Seuil3,1.8666666666666654,1,2,2,0
94,2,P_STD_EV,1,EF3,-0.07936507936507953,EF1|EF1|EF3|Seuil3|Seuil3|Seuil3,EF3|EF3|Seuil3|Seuil3,1.9007936507936511,1,2,2,0
98,2,P_STD_EV,1,EF3,-0.15972222222222188,EF1|EF1|EF3|Seuil3|Seuil3|Seuil3,EF3|EF3|Seuil3|Seuil3,1.8472222222222223,1,2,2,0
99,3,P_STD_EV,1,EF3,-0.15972222222222188,EF1|EF1|EF3|Seuil3|Seuil3|Seuil3,EF3|EF3|Seuil3|Seuil3,1.8472222222222223,1,2,2,0
2,2,P_STD_MOD15,1,EF3,-0.12222222222222223,EF1|EF1|EF3|Seuil3|Seuil3|Seuil3,EF3|EF3|Seuil3|Seuil3,1.8722222222222218,1,2,2,0
3,2,P_STD_MOD15,1,EF3,-0.12222222222222223,EF1|EF1|EF3|Seuil3|Seuil3|Seuil3,EF3|EF3|Seuil3|Seuil3,1.8722222222222218,1,2,2,0
5,2,P_STD_MOD15,1,EF3,-0.19281045751634007,EF1|EF1|EF3|Seuil3|Seuil3|Seuil3,EF3|EF3|Seuil3|Seuil3,1.825163398692811,1,2,2,0
11,2,P_STD_MOD15,1,EF3,-0.07380952380952399,EF1|EF1|EF3|Seuil3|Seuil3|Seuil3,EF3|EF3|Seuil3|Seuil3,1.8952380952380947,1,2,2,0
13,2,P_STD_MOD15,1,EF3,-0.07936507936507953,EF1|EF1|EF3|Seuil3|Seuil3|Seuil3,EF3|EF3|Seuil3|Seuil3,1.9007936507936511,1,2,2,0
17,2,P_STD_MOD15,1,EF3,-0.12222222222222223,EF1|EF1|EF3|Seuil3|Seuil3|Seuil3,EF3|EF3|Seuil3|Seuil3,1.8722222222222218,1,2,2,0
20,2,P_STD_MOD15,1,EF3,-0.12222222222222223,EF1|EF1|EF3|Seuil3|Seuil3|Seuil3,EF3|EF3|Seuil3|Seuil3,1.8722222222222218,1,2,2,0
22,2,P_STD_MOD15,1,EF3,-0.07936507936507953,EF1|EF1|EF3|Seuil3|Seuil3|Seuil3,EF3|EF3|Seuil3|Seuil3,1.9007936507936511,1,2,2,0
26,2,P_STD_MOD15,1,EF3,-0.07380952380952399,EF1|EF1|EF3|Seuil3|Seuil3|Seuil3,EF3|EF3|Seuil3|Seuil3,1.8952380952380947,1,2,2,0
33,2,P_STD_MOD15,1,EF3,-0.12222222222222223,EF1|EF1|EF3|Seuil3|Seuil3|Seuil3,EF3|EF3|Seuil3|Seuil3,1.8722222222222218,1,2,2,0
37,2,P_STD_MOD15,1,EF3,-0.19281045751634007,EF1|EF1|EF3|Seuil3|Seuil3|Seuil3,EF3|EF3|Seuil3|Seuil3,1.825163398692811,1,2,2,0
39,2,P_STD_MOD15,1,EF3,-0.12222222222222223,EF1|EF1|EF3|Seuil3|Seuil3|Seuil3,EF3|EF3|Seuil3|Seuil3,1.8722222222222218,1,2,2,0
40,2,P_STD_MOD15,1,EF3,-0.12222222222222223,EF1|EF1|EF3|Seuil3|Seuil3|Seuil3,EF3|EF3|Seuil3|Seuil3,1.8722222222222218,1,2,2,0
41,2,P_STD_MOD15,1,EF3,-0.07936507936507953,EF1|EF1|EF3|Seuil3|Seuil3|Seuil3,EF3|EF3|Seuil3|Seuil3,1.9007936507936511,1,2,2,0
43,2,P_STD_MOD15,1,EF3,-0.15972222222222188,EF1|EF1|EF3|Seuil3|Seuil3|Seuil3,EF3|EF3|Seuil3|Seuil3,1.8472222222222223,1,2,2,0
47,2,P_STD_MOD15,1,EF3,-0.15416666666666679,EF1|EF1|EF3|Seuil3|Seuil3|Seuil3,EF3|EF3|Seuil3|Seuil3,1.841666666666666,1,2,2,0
49,2,P_STD_MOD15,1,EF3,-0.15972222222222188,EF1|EF1|EF3|Seuil3|Seuil3|Seuil3,EF3|EF3|Seuil3|Seuil3,1.8472222222222223,1,2,2,0
53,2,P_STD_MOD15,1,EF3,-0.12222222222222223,EF1|EF1|EF3|Seuil3|Seuil3|Seuil3,EF3|EF3|Seuil3|Seuil3,1.8722222222222218,1,2,2,0
60,2,P_STD_MOD15,1,EF3,-0.06547619047619024,EF1|EF1|EF3|Seuil3|Seuil3|Seuil3,EF3|EF3|Seuil3|Seuil3,1.8869047619047619,1,2,2,0
63,2,P_STD_MOD15,1,EF3,-0.07936507936507953,EF1|EF1|EF3|Seuil3|Seuil3|Seuil3,EF3|EF3|Seuil3|Seuil3,1.9007936507936511,1,2,2,0
68,2,P_STD_MOD15,1,EF3,-0.11666666666666714,EF1|EF1|EF3|Seuil3|Seuil3|Seuil3,EF3|EF3|Seuil3|Seuil3,1.8666666666666654,1,2,2,0
69,2,P_STD_MOD15,1,EF3,-0.15416666666666679,EF1|EF1|EF3|Seuil3|Seuil3|Seuil3,EF3|EF3|Seuil3|Seuil3,1.841666666666666,1,2,2,0
72,2,P_STD_MOD15,1,EF3,-0.07936507936507953,EF1|EF1|EF3|Seuil3|Seuil3|Seuil3,EF3|EF3|Seuil3|Seuil3,1.9007936507936511,1,2,2,0
75,2,P_STD_MOD15,1,EF3,-0.12222222222222223,EF1|EF1|EF3|Seuil3|Seuil3|Seuil3,EF3|EF3|Seuil3|Seuil3,1.8722222222222218,1,2,2,0
77,2,P_STD_MOD15,1,EF3,-0.07380952380952399,EF1|EF1|EF3|Seuil3|Seuil3|Seuil3,EF3|EF3|Seuil3|Seuil3,1.8952380952380947,1,2,2,0
79,2,P_STD_MOD15,1,EF3,-0.15972222222222188,EF1|EF1|EF3|Seuil3|Seuil3|Seuil3,EF3|EF3|Seuil3|Seuil3,1.8472222222222223,1,2,2,0
87,2,P_STD_MOD15,1,EF3,-0.07936507936507953,EF1|EF1|EF3|Seuil3|Seuil3|Seuil3,EF3|EF3|Seuil3|Seuil3,1.9007936507936511,1,2,2,0
90,2,P_STD_MOD15,1,EF3,-0.15972222222222188,EF1|EF1|EF3|Seuil3|Seuil3|Seuil3,EF3|EF3|Seuil3|Seuil3,1.8472222222222223,1,2,2,0
91,2,P_STD_MOD15,1,EF3,-0.07936507936507953,EF1|EF1|EF3|Seuil3|Seuil3|Seuil3,EF3|EF3|Seuil3|Seuil3,1.9007936507936511,1,2,2,0
92,2,P_STD_MOD15,1,EF3,-0.11666666666666714,EF1|EF1|EF3|Seuil3|Seuil3|Seuil3,EF3|EF3|Seuil3|Seuil3,1.8666666666666654,1,2,2,0
94,2,P_STD_MOD15,1,EF3,-0.07936507936507953,EF1|EF1|EF3|Seuil3|Seuil3|Seuil3,EF3|EF3|Seuil3|Seuil3,1.9007936507936511,1,2,2,0
98,2,P_STD_MOD15,1,EF3,-0.15972222222222188,EF1|EF1|EF3|Seuil3|Seuil3|Seuil3,EF3|EF3|Seuil3|Seuil3,1.8472222222222223,1,2,2,0
99,3,P_STD_MOD15,1,EF3,-0.12222222222222223,EF1|EF1|EF3|Seuil3|Seuil3|Seuil3,EF3|EF3|Seuil3|Seuil3,1.8722222222222218,1,2,2,0
2,2,P_STD_MOD25,1,EF3,-0.12222222222222223,EF1|EF1|EF3|Seuil3|Seuil3|Seuil3,EF3|EF3|Seuil3|Seuil3,1.8722222222222218,1,2,2,0
3,2,P_STD_MOD25,1,EF3,-0.12222222222222223,EF1|EF1|EF3|Seuil3|Seuil3|Seuil3,EF3|EF3|Seuil3|Seuil3,1.8722222222222218,1,2,2,0
5,2,P_STD_MOD25,1,EF3,-0.19281045751634007,EF1|EF1|EF3|Seuil3|Seuil3|Seuil3,EF3|EF3|Seuil3|Seuil3,1.825163398692811,1,2,2,0
11,2,P_STD_MOD25,1,EF3,-0.07380952380952399,EF1|EF1|EF3|Seuil3|Seuil3|Seuil3,EF3|EF3|Seuil3|Seuil3,1.8952380952380947,1,2,2,0
13,2,P_STD_MOD25,1,EF3,-0.07936507936507953,EF1|EF1|EF3|Seuil3|Seuil3|Seuil3,EF3|EF3|Seuil3|Seuil3,1.9007936507936511,1,2,2,0
17,2,P_STD_MOD25,1,EF3,-0.12222222222222223,EF1|EF1|EF3|Seuil3|Seuil3|Seuil3,EF3|EF3|Seuil3|Seuil3,1.8722222222222218,1,2,2,0
20,2,P_STD_MOD25,1,EF3,-0.12222222222222223,EF1|EF1|EF3|Seuil3|Seuil3|Seuil3,EF3|EF3|Seuil3|Seuil3,1.8722222222222218,1,2,2,0
22,2,P_STD_MOD25,1,EF3,-0.07936507936507953,EF1|EF1|EF3|Seuil3|Seuil3|Seuil3,EF3|EF3|Seuil3|Seuil3,1.9007936507936511,1,2,2,0
26,2,P_STD_MOD25,1,EF3,-0.07380952380952399,EF1|EF1|EF3|Seuil3|Seuil3|Seuil3,EF3|EF3|Seuil3|Seuil3,1.8952380952380947,1,2,2,0
33,2,P_STD_MOD25,1,EF3,-0.12222222222222223,EF1|EF1|EF3|Seuil3|Seuil3|Seuil3,EF3|EF3|Seuil3|Seuil3,1.8722222222222218,1,2,2,0
37,2,P_STD_MOD25,1,EF3,-0.19281045751634007,EF1|EF1|EF3|Seuil3|Seuil3|Seuil3,EF3|EF3|Seuil3|Seuil3,1.825163398692811,1,2,2,0
39,2,P_STD_MOD25,1,EF3,-0.12222222222222223,EF1|EF1|EF3|Seuil3|Seuil3|Seuil3,EF3|EF3|Seuil3|Seuil3,1.8722222222222218,1,2,2,0
40,2,P_STD_MOD25,1,EF3,-0.12222222222222223,EF1|EF1|EF3|Seuil3|Seuil3|Seuil3,EF3|EF3|Seuil3|Seuil3,1.8722222222222218,1,2,2,0
