state,policy,fatigue,bundle,value,planned,risk_count,search_method
negative_capacity,P0_CURRENT,-8,EF2|Seuil3,,5,0,production
negative_capacity,P_STD_EV,-8,EF1|EF1|EF1|Seuil3|Seuil3|Seuil3,7.666666666666667,12,0,exhaustive
negative_capacity,P_STD_MOD15,-8,EF1|EF1|EF1|Seuil3|Seuil3|Seuil3,7.666666666666667,12,0,exhaustive
negative_capacity,P_STD_MOD25,-8,EF1|EF1|EF1|Seuil3|Seuil3|Seuil3,7.666666666666667,12,0,exhaustive
negative_capacity,P_STD_MOD40,-8,EF1|EF1|EF1|Seuil3|Seuil3|Seuil3,7.666666666666667,12,0,exhaustive
near_zero,P0_CURRENT,0,EF2|Seuil3,,5,0,production
near_zero,P_STD_EV,0,EF1|EF1|EF1|Seuil3|Seuil3|Seuil3,7.666666666666667,12,0,exhaustive
near_zero,P_STD_MOD15,0,EF1|EF1|EF1|Seuil3|Seuil3|Seuil3,7.666666666666667,12,0,exhaustive
near_zero,P_STD_MOD25,0,EF1|EF1|EF1|Seuil3|Seuil3|Seuil3,7.666666666666667,12,0,exhaustive
near_zero,P_STD_MOD40,0,EF1|EF1|EF1|Seuil3|Seuil3|Seuil3,7.666666666666667,12,0,exhaustive
positive_below_ot,P0_CURRENT,5,EF2|Seuil3,,5,0,production
positive_below_ot,P_STD_EV,5,EF1|EF1|EF1|Seuil3|Seuil3|Seuil3,7.666666666666667,12,0,exhaustive
positive_below_ot,P_STD_MOD15,5,EF1|EF1|EF1|Seuil3|Seuil3|Seuil3,7.666666666666667,12,0,exhaustive
positive_below_ot,P_STD_MOD25,5,EF1|EF1|EF1|Seuil3|Seuil3|Seuil3,7.666666666666667,12,0,exhaustive
positive_below_ot,P_STD_MOD40,5,EF1|EF1|EF1|Seuil3|Seuil3|Seuil3,7.666666666666667,12,0,exhaustive
ef_opens_quality,P0_CURRENT,0,EF1|Seuil3,,4,0,production
ef_opens_quality,P_STD_EV,0,EF1|Seuil3,4.666666666666667,4,0,exhaustive
ef_opens_quality,P_STD_MOD15,0,EF1|Seuil3,4.666666666666667,4,0,exhaustive
ef_opens_quality,P_STD_MOD25,0,EF1|Seuil3,4.666666666666667,4,0,exhaustive
ef_opens_quality,P_STD_MOD40,0,EF1|Seuil3,4.666666666666667,4,0,exhaustive
low_risk,P0_CURRENT,0,EF1|Seuil3,,4,0,production
low_risk,P_STD_EV,0,EF1|EF1|Seuil3|Seuil3,6.166666666666667,8,0,exhaustive
low_risk,P_STD_MOD15,0,EF1|EF1|Seuil3|Seuil3,6.166666666666667,8,0,exhaustive
low_risk,P_STD_MOD25,0,EF1|EF1|Seuil3|Seuil3,6.166666666666667,8,0,exhaustive
low_risk,P_STD_MOD40,0,EF1|EF1|Seuil3|Seuil3,6.166666666666667,8,0,exhaustive
medium_risk,P0_CURRENT,0,EF1|Seuil3,,4,0,production
medium_risk,P_STD_EV,0,EF1|EF1|EF1|EF1|Seuil3|Seuil3,6.138888888888889,10,0,exhaustive
medium_risk,P_STD_MOD15,0,EF1|EF1|EF1|EF1|Seuil3|Seuil3,6.138888888888889,10,0,exhaustive
medium_risk,P_STD_MOD25,0,EF1|EF1|EF1|EF1|Seuil3|Seuil3,6.138888888888889,10,0,exhaustive
medium_risk,P_STD_MOD40,0,EF1|EF1|EF1|EF1|Seuil3|Seuil3,6.138888888888889,10,0,exhaustive
high_risk,P0_CURRENT,0,EF1|Seuil3,,4,0,production
high_risk,P_STD_EV,0,EF1|EF1|EF1|Seuil3|Seuil3|Seuil3,7.666666666666667,12,0,exhaustive
high_risk,P_STD_MOD15,0,EF1|EF1|EF1|Seuil3|Seuil3|Seuil3,7.666666666666667,12,0,exhaustive
high_risk,P_STD_MOD25,0,EF1|EF1|EF1|Seuil3|Seuil3|Seuil3,7.666666666666667,12,0,exhaustive
high_risk,P_STD_MOD40,0,EF1|EF1|EF1|Seuil3|Seuil3|Seuil3,7.666666666666667,12,0,exhaustive
multiple_risk,P0_CURRENT,0,EF2|EF2,,4,0,production
multiple_risk,P_STD_EV,0,EF2|EF2|Seuil4|Seuil4,4.704475308641976,12,2,exhaustive
multiple_risk,P_STD_MOD15,0,EF2|EF2|EF2|EF2|EF2|EF2,3.1666666666666665,12,0,exhaustive
multiple_risk,P_STD_MOD25,0,EF2|EF2|Seuil4|Seuil4,5.75,12,2,exhaustive
multiple_risk,P_STD_MOD40,0,EF2|EF2|Seuil4|Seuil4,5.75,12,2,exhaustive
